originating_system_id,dc:title,dcterms:alternative,dc:relation,compoundrelationship,group_id,collection_id,dc:type,mms_id,file_name_1,dc:identifier,dcterms:identifier.dcterms:URI,dc:creator,dc:contributor,dcterms:tableOfContents,dc:subject,dcterms:subject.dcterms:LCSH,dc:description,dcterms:provenance,dcterms:bibliographicCitation,dcterms:abstract,dcterms:publisher,dc:date,dcterms:created,dcterms:issued,dcterms:dateSubmitted,dcterms:dateAccepted,dc:format,dcterms:extent,dcterms:medium,dcterms:format.dcterms:IMT,dcterms:type.dcterms:DCMIType,dc:language,dcterms:isPartOf,dc:coverage,dcterms:spatial,dcterms:spatial.dcterms:Point,dcterms:temporal,dc:rights,dc:source,bib custom field,rep_label,rep_public_note,rep_access_rights,rep_usage_type,rep_library,rep_note,rep_custom field,file_label_1,file_name_2,file_label_2,googlesheetsource,dginfo,oldalttitle
dg_1779313074,"Humanities and Social Studies Center (HSSC), 2019, Photograph 1",,,,,,Image,,1D3A1226.jpg,,,"Hayworth, Justin",,,Humanities and Social Studies Center | HSSC | Campus | Buildings | Broken English,,"A view of the front of the Humanities and Social Studies Center (HSSC) with the sculpture ""Broken English"" created by Gregory Gómez, class of 1980.",Office of Communications,,,,,2019-10-15,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779313414,Gates Tower,,,,,,Image,,20120823IPOPacademic02.jpg,,,"Hayworth, Justin",,,Gates Tower | North Campus | Campus | Buildings,,A view of Gates Tower and North Campus dormitories from Mac Field. ,Office of Communications,,,,,2012-08-22,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779313532,Alumni Recitation Hall ,,,,,,Image,,20140502arhcarnegie011.jpg,,,"Hayworth, Justin",,,Alumni Recitation Hall | ARH | Campus | Buildings,,Details from the front of Alumni Recitation Hall (ARH).,Office of Communications,,,,,2014-05-02,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779313735,Carnegie Hall,,,,,,Image,,20140707campus142.jpg,,,"Hayworth, Justin",,,Carnegie Hall | Campus | Buildings ,,The front of Carngie Hall.,Office of Communications,,,,,2014-07-07,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779313793,Mac Field and North Campus,,,,,,Image,,20150401spring005.jpg,,,"Hayworth, Justin",,,North Campus | Campus | Buildings | Dormitories,,Two students laying on Mac Field in front of North Campus,Office of Communications,,,,,2015-04-01,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779402758,"Move-In Day, 2016, Photograph 1",,,,,,Image,,20160819movein060.jpg,,,"Hayworth, Justin",,,North Campus | Gates Tower | Gates Hall | Rawson Hall | Campus | Buildings | Dormitories,,"Three people stand in front of Gates Tower on North Campus on Move-In Day, August 19, 2016.",Office of Communications,,,,,2016-08-19,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779403244,"Move-In Day, 2016, Photograph 2",,,,,,Image,,20160819movein208.jpg,,,"Hayworth, Justin",,,North Campus | Dormitories,,Two people walk towards a dormitory building on North Campus.,Office of Communications,,,,,2016-08-19,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779403412,"Move-In Day, 2016, Photograph 3",,,,,,Image,,20160819movein220.jpg,,,"Hayworth, Justin",,,Harris Center | North Campus | Campus | Buildings  | Dormitories,,"A photograph of the Harris Center on Move-In Day, August 19, 2016.",Office of Communications,,,,,2016-08-19,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779404196,"Move-In Day, 2016, Photograph 4",,,,,,Image,,20160819movein392.jpg,,,"Hayworth, Justin",,,North Campus | Campus | Buildings | Dormitories,,"A view through the loggia of Younker Hall with the Alumni Recitation Hall (ARH) in the background. August 19, 2016.",Office of Communications,,,,,2016-08-19,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779404639,"Burling Library, 2018",,,,,,Image,,20180226.campus.burling014.jpg,,,"Hayworth, Justin",,,Burling Library | Library | Campus | Buildings,,"A group of students sitting at the tables on the deck of Burling Library are reflected in the windows. February 26, 2018.",Office of Communications,,,,,2018-02-26,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779404913,"East Campus, 2018",,,,,,Image,,20180917.loggias.213.jpg,,,"Hayworth, Justin",,,East Campus | Train | Campus | Buildings,,"A view of East Campus with a train traveling through campus. September 17, 2018.",Office of Communications,,,,,2018-09-17,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779405038,"Noyce Science Center, 2019, Photograph 2",,,,,,Image,,20190502.campus.spring.107.jpg,,,"Hayworth, Justin",,,Noyce Science Center | Noyce | Campus | Buildings ,,"Noyce Science Center with Eastern redbud trees in bloom. May 2, 2019.",Office of Communications,,,,,2019-05-02,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
