objectid,originating_system_id,original_file_name,short_filename,sort_index,parentid,admin_notes,title,interviewer,interviewee,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,WORKSPACE1,WORKSPACE2,WORKSPACE3,object_location,image_small,image_thumb,image_alt_text,object_transcript,coverage,creator,publisher,relation
bldg_dg_1782755215,1D3A,1D3A1226.JPG,,,,,"Humanities and Social Studies Center (HSSC), 2019, Photograph 1",,,,"A view of the front of the Humanities and Social Studies Center (HSSC) with the sculpture ""Broken English"" created by Gregory Gómez, class of 1980.",Humanities and Social Studies Center; HSSC; Campus; Buildings; Broken English,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755215.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755215_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755215_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755216,20120823IPOPacademic,20120823IPOPacademic02.JPG,,,,,Gates Tower,,,,A view of Gates Tower and North Campus dormitories from Mac Field. ,Gates Tower; North Campus; Campus; Buildings,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755216.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755216_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755216_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755217,20140502arhcarnegie,20140502arhcarnegie011.JPG,,,,,Alumni Recitation Hall ,,,,Details from the front of Alumni Recitation Hall (ARH).,Alumni Recitation Hall; ARH; Campus; Buildings,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755217.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755217_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755217_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755218,20140707campus,20140707campus142.JPG,,,,,Carnegie Hall,,,,The front of Carngie Hall.,Carnegie Hall; Campus; Buildings ,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755218.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755218_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755218_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755219,20150401spring,20150401spring005.JPG,,,,,Mac Field and North Campus,,,,Two students laying on Mac Field in front of North Campus,North Campus; Campus; Buildings; Dormitories,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755219.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755219_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755219_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755220,20160819movein,20160819movein060.jpg,,,,,"Move-In Day, 2016, Photograph 1",,,,"Three people stand in front of Gates Tower on North Campus on Move-In Day, August 19, 2016.",North Campus; Gates Tower; Gates Hall; Rawson Hall; Campus; Buildings; Dormitories,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755220.jpg,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755220_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755220_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755221,20160819movein,20160819movein208.jpg,,,,,"Move-In Day, 2016, Photograph 2",,,,Two people walk towards a dormitory building on North Campus.,North Campus; Dormitories,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755221.jpg,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755221_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755221_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755222,20160819movein,20160819movein220.jpg,,,,,"Move-In Day, 2016, Photograph 3",,,,"A photograph of the Harris Center on Move-In Day, August 19, 2016.",Harris Center; North Campus; Campus; Buildings ; Dormitories,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755222.jpg,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755222_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755222_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755223,20160819movein,20160819movein392.jpg,,,,,"Move-In Day, 2016, Photograph 4",,,,"A view through the loggia of Younker Hall with the Alumni Recitation Hall (ARH) in the background. August 19, 2016.",North Campus; Campus; Buildings; Dormitories,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755223.jpg,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755223_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755223_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755224,20180226.campus.burling,20180226.campus.burling014.JPG,,,,,"Burling Library, 2018",,,,"A group of students sitting at the tables on the deck of Burling Library are reflected in the windows. February 26, 2018.",Burling Library; Library; Campus; Buildings,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755224.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755224_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755224_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755225,20180917.loggias.,20180917.loggias.213.JPG,,,,,"East Campus, 2018",,,,"A view of East Campus with a train traveling through campus. September 17, 2018.",East Campus; Train; Campus; Buildings,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755225.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755225_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755225_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755226,20190502.campus.spring.,20190502.campus.spring.107.JPG,,,,,"Noyce Science Center, 2019, Photograph 2",,,,"Noyce Science Center with Eastern redbud trees in bloom. May 2, 2019.",Noyce Science Center; Noyce; Campus; Buildings ,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755226.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755226_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755226_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755227,20190510.noyce.library.windows.,20190510.noyce.library.windows.029.JPG,,,,,"Noyce Science Center, 2019, Photograph 2",,,,"A view of the Kistle Science Library windows in the Noyce Science Center from outside the buidling on 8th Avenue. May 10, 2019.",Noyce Science Center; Noyce; Campus; Buildings ,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755227.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755227_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755227_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755228,20190701.hssc.,20190701.hssc.125.JPG,,,,,"Humanities and Social Studies Center (HSSC), 2019, Photograph 2",,,," Central campus looking at the Humanities and Social Studies Center (HSSC). TheGrinnell College logo is on the sidewalk. July 1, 2019.",Humanities and Social Studies Center; HSSC; Campus; Buildings Humanities and Social Studies Center,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755228.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755228_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755228_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755229,20190715.bucksbaum.,20190715.bucksbaum.03.JPG,,,,,"Bucksbaum Center for the Arts, 2019",,,,"The front of the Bucksbaum Center for the Arts with purple cone flowers. July 15, 2019.",Bucksbaum Center for the Arts; Bucksbaum; Campus; Buildings,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755229.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755229_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755229_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755230,20190715.forum.,20190715.forum.06.JPG,,,,,"The Forum, 2019",,,,"A photograph of the Froum taken from central campus. July 15, 2019.",Forum; The Forum; Central Campus; Campus; Buildings,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755230.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755230_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755230_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755231,20190829.first.day.,20190829.first.day.134.JPG,,,,,"Noyce Science Center, 2019, Photograph 3",,,,"A view of the Kistle Science Library windows in the Noyce Science Center from outside the buidling on 8th Avenue. A student is walking in front of the building. August 29, 2019.",Noyce Science Center; Noyce; Campus; Buildings ,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755231.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755231_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755231_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755232,20190829.first.day.,20190829.first.day.200.JPG,,,,,"Humanities and Social Studies Center (HSSC), 2019, Photograph 3",,,,"Students walk through central campus with the Humanities and Social Studies Center (HSSC) behind them. August 29, 2019.",Humanities and Social Studies Center; HSSC; Campus; Buildings,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755232.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755232_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755232_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755233,20190927.hssc.atrium.,20190927.hssc.atrium.013.JPG,,,,,"Humanities and Social Studies Center (HSSC), 2019, Photograph 4",,,,"The atrium and interior of the Humanities and Social Studies Center (HSSC). September 27, 2019.",Humanities and Social Studies Center; HSSC; Campus; Buildings,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755233.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755233_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755233_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755234,20190927.hssc.gates.,20190927.hssc.gates.007.JPG,,,,,"Humanities and Social Studies Center (HSSC), 2019, Photograph 5",,,,"The atrium and interior of the third floor of the Humanities and Social Studies Center (HSSC). September 27, 2019.",Humanities and Social Studies Center; HSSC; Campus; Buildings,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755234.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755234_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755234_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755235,20190927.hssc.gates.,20190927.hssc.gates.155.JPG,,,,,North Campus Reflection,,,,"A window reflection image of the arch outside of the Harris Center looking towards the North Campus dormitories. September 27, 2019.",Harris Center; North Campus; Campus; Buildings; Dormitories,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755235.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755235_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755235_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755236,20191028.fall.collor.campus.,20191028.fall.collor.campus.331.JPG,,,,,Main Hall and Mears Hall,,,,"A photograph of Main Hall and Mears Hall taken from underneath a large tree with fall foliage. October 28, 2019.",Main Hall; Mears Hall; South Campus; Campus; Buildings,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755236.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755236_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755236_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755237,20191203.campus.,20191203.campus.070.JPG,,,,,"Goodnow Hall, 2019, Photograph 1",,,,"The exterior of Goodnow Hall. December 3, 2019",Goodnow Hall; Campus; Buildings,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755237.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755237_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755237_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755238,20191205.parkst.exteriors.,20191205.parkst.exteriors.049.JPG,,,,,"Goodnow Hall, 2019, Photograph 2",,,,"The exterior of Goodnow Hall. December 5, 2019",Goodnow Hall; Campus; Buildings,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755238.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755238_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755238_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755239,20191205.warm.weather.,20191205.warm.weather.070.JPG,,,,,"Humanities and Social Studies Center (HSSC), 2019, Photograph 6",,,,"Two students sit on benches on Kington Plaza in front of the Humanities and Social Studies Center (HSSC). December 5, 2019.",Humanities and Social Studies Center; HSSC; Campus; Buildings; Students,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755239.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755239_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755239_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782755240,BOTfall2019ppt,BOTfall2019ppt054.JPG,,,,,"Harris Center, 2019",,,,"Students outside of the Harris Center. September 4, 2019.",Harris Center; North Campus; Campus; Buildings; Students,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755240.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755240_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755240_TN.jpg,,,,"Hayworth, Justin",,
